repo_name,language,stars,forks,created_at,description
p-e-w/heretic,Python,4003,382,2025-09-21T05:46:16Z,Fully automatic censorship removal for language models
xykt/NetQuality,Shell,3997,317,2025-03-12T03:16:44Z,网络质量检测脚本 - Network Quality Check Script
denizsafak/abogen,Python,3986,239,2025-04-24T01:06:05Z,"Generate audiobooks from EPUBs, PDFs and text with synchronized captions."
VectorSpaceLab/OmniGen2,Jupyter Notebook,3976,12,2025-06-06T08:09:44Z,OmniGen2: Exploration to Advanced Multimodal Generation. https://arxiv.org/abs/2506.18871
hunvreus/devpush,Python,3975,138,2025-01-16T08:11:40Z,"Like Vercel, but open source and for all languages."
KaringX/clashmi,Dart,3971,247,2025-04-14T13:37:30Z,Clash Mihomo for iOS/Android
X11Libre/xserver,C,3963,206,2025-02-01T13:41:59Z,XLibre Xserver
aidenybai/react-grab,TypeScript,3948,174,2025-10-17T10:08:55Z,Select context for coding agents directly from your website
armankhondker/awesome-ai-ml-resources,Sin especificar,3943,448,2025-02-09T00:12:17Z,Learn AI/ML for beginners with a roadmap and free resources. 
iflow-ai/iflow-cli,Shell,3940,274,2025-07-27T02:38:21Z,"iFlow cli is a comprehensive command-line intelligence that embeds in your terminal, analyzes your r"
BoCloud/folib,Java,3934,242,2025-07-09T06:22:58Z,全语言制品仓库，涵盖npm、Maven、PyPi、Docker、Gradle、SBT、Cocoapods、Swift、RPM、Debian、PHP、Go、Pub、Ivy、NuGet、Conda、Car
going-doer/Paper2Code,Python,3931,589,2025-04-25T07:58:12Z,Paper2Code: Automating Code Generation from Scientific Papers in Machine Learning
cactus-compute/cactus,C++,3928,251,2025-04-23T14:33:43Z,Kernels & AI inference engine for mobile devices.
Mai-with-u/MaiBot,Python,3925,438,2025-02-25T16:05:07Z,麦麦bot，一款专注于 群组聊天 的赛博网友（比较专注）多平台智能体
MCP-UI-Org/mcp-ui,TypeScript,3919,281,2025-05-13T22:41:43Z,UI over MCP. Create next-gen UI experiences with the protocol and SDK!
SukiSU-Ultra/SukiSU-Ultra,Kotlin,3918,930,2025-03-29T12:56:40Z,Kernel-based Android Root Solution & KPM
p2r3/bareiron,C,3900,190,2025-08-12T00:45:13Z,Minimalist Minecraft server for memory-restrictive embedded systems
lbjlaq/Antigravity-Manager,Rust,3898,541,2025-11-26T10:47:13Z,Professional Antigravity Account Manager & Switcher. One-click seamless account switching for Antigr
ruvnet/wifi-densepose,Python,3895,312,2025-06-07T04:32:30Z,Production-ready implementation of InvisPose - a revolutionary WiFi-based dense human pose estimatio
memstechtips/Winhance,C#,3895,185,2025-01-13T13:20:05Z,"Application designed to optimize, customize and enhance your Windows experience."
get-convex/chef,TypeScript,3881,759,2025-03-31T19:00:59Z,The only AI app builder that knows backend
shareAI-lab/Kode-cli,TypeScript,3864,598,2025-07-12T14:21:51Z,"not another coding agent, kode is agent cli for everything"
vercel/streamdown,TypeScript,3860,170,2025-08-15T01:52:01Z,"A drop-in replacement for react-markdown, designed for AI-powered streaming."
QwenLM/Qwen2.5-Omni,Jupyter Notebook,3859,304,2025-03-22T01:43:13Z,"Qwen2.5-Omni is an end-to-end multimodal model by Qwen team at Alibaba Cloud, capable of understandi"
router-for-me/CLIProxyAPI,Go,3852,608,2025-07-01T19:43:27Z,"Wrap Gemini CLI, Antigravity, ChatGPT Codex, Claude Code, Qwen Code, iFlow as an OpenAI/Gemini/Claud"
sagekit/magnitude,TypeScript,3837,202,2025-03-20T15:50:12Z,"Open-source, vision-first browser agent"
HKUDS/AI-Researcher,Python,3833,457,2025-03-11T12:48:38Z,"[NeurIPS2025] ""AI-Researcher: Autonomous Scientific Innovation"" -- A production-ready version: https"
browser-use/workflow-use,Python,3829,306,2025-05-06T09:35:23Z,⚙️ Create and run workflows (RPA 2.0)
PancakeTAS/lsfg-vk,C++,3824,85,2025-06-28T08:52:08Z,Lossless Scaling Frame Generation on Linux
hkust-nlp/simpleRL-reason,Python,3811,282,2025-01-25T07:16:58Z,Simple RL training for reasoning
